Key,Id,English(en),Spanish(es),Italian(it),French(fr),Polish(pl),Ukrainian(uk),Russian(ru),German(de),Hungarian(hu),Romanian(ro),Arabic(ar)
"animal_elephant_young",20437989829107716,"Young elephant","Elefante joven","Giovane elefante","Un jeune éléphant","Młody słoń","Молодий слон","Молодой слон","Junger Elefant","Fiatal elefánt","Tânăr elefant","فيل صغير"
"animal_elephant_young.desc",20437989829107717,"Curious and learning, it follows the adults. It practices using its trunk every day!","Curioso y aprendiz, sigue a los adultos. ¡Practica el uso de su trompa todos los días!","Curioso e apprendente, segue gli adulti. Si esercita ogni giorno usando la proboscide!","Curieux, il suit les adultes. Il aime utiliser sa trompe tous les jours !","Ciekawski, szybko się uczy, podąża za dorosłymi. Codziennie ćwiczy używanie trąby!","Допитливий і навчальний, він слідує за дорослими. Він щодня вправляється користуватися своїм стовбуром!","Любопытный и обучаемый, он следует за взрослыми. Он тренируется пользоваться своим хоботом каждый день!","Neugierig und lernbegierig folgt es den Erwachsenen und übt jeden Tag, seinen Rüssel zu benutzen!","Kíváncsi és tanuló követi a felnőtteket. Minden nap gyakorolja a törzs használatát!","Curios și învățat, îi urmărește pe adulți. Se exersează să-și folosească trunchiul în fiecare zi!","فضوليٌّ ومتعلم، يتبع الكبار. يتدرب على استخدام خرطومه يوميًا!"
"animal_elephant.desc",7717548232531968,"A big animal with a trunk. Elephants are the biggest animals that walk on land. They have big ears and love to spray water!","Un animal grande con trompa. Los elefantes son los animales terrestres más grandes. Tienen orejas grandes y les encanta rociar agua.","Un grosso animale con una proboscide. Gli elefanti sono gli animali più grandi che camminano sulla terraferma. Hanno grandi orecchie e amano spruzzare acqua!","C'est un gros animal avec une trompe. Les éléphants sont les plus grands animaux terrestres. Ils ont de grandes oreilles et adorent souffler de l'eau !","Ogromne zwierzę z trąbą. Słonie to największe zwierzęta chodzące po lądzie. Mają duże uszy i uwielbiają pryskać wodą!","Велика тварина з хоботом. Слони - найбільші тварини, які ходять по суші. Вони мають великі вуха і люблять бризкати водою!","Большое животное с хоботом. Слоны — самые крупные животные, ходящие по суше. У них большие уши, и они любят разбрызгивать воду!","Ein großes Tier mit einem Rüssel. Elefanten sind die größten Landtiere. Sie haben große Ohren und lieben es, Wasser zu spritzen!","Egy nagy állat, törzsgel. Az elefántok a legnagyobb szárazföldi állatok. Nagy fülük van és szeretnek vizet permetezni!","Un animal mare cu un trunchi. Elefanții sunt cele mai mari animale care merg pe uscat. Au urechi mari și le place să pulverizeze apă!","حيوان كبير ذو خرطوم. الفيلة أكبر الحيوانات التي تمشي على اليابسة. لها آذان كبيرة وتحب رش الماء!"
"animal_enclosure",8827921438334976,"Animal Enclosure","Recinto para animales","Recinto per animali","Un enclos pour animaux","Wybieg dla zwierząt","Вольєр для тварин","Вольер для животных","Tiergehege","Állattartó","Incinta pentru animale","حظيرة الحيوانات"
"animal_enclosure.desc",8827921438334977,"A safe space made for animals to live at the zoo.","Un espacio seguro creado para que los animales vivan en el zoológico.","Uno spazio sicuro pensato per far vivere gli animali allo zoo.","C'est un espace pour les animaux dans le zoo.","Bezpieczna przestrzeń w zoo, w której mogą żyć zwierzęta.","Безпечний простір для тварин у зоопарку.","Безопасное пространство, созданное для жизни животных в зоопарке.","Ein sicherer Lebensraum für Tiere im Zoo.","Biztonságos hely az állatok számára az állatkertben.","Un spațiu sigur creat pentru ca animalele să trăiască la grădina zoologică.","مساحة آمنة مخصصة للحيوانات للعيش في حديقة الحيوان."
"animal_fox",21855487132688384,"Fox","Zorro","Volpe","Un renard","Lis","Лисиця","Лиса","Fuchs","Róka","Vulpe","ثعلب"
"animal_fox.desc",21855487157854208,"A smart predator that lives in the woods. They have a soft tail to keep them warm.","Un depredador inteligente que vive en el bosque. Tiene una cola suave para mantenerse caliente.","Un predatore intelligente che vive nei boschi. Ha una coda morbida che lo tiene al caldo.","C'est un animal  intelligent qui vit dans les bois. Sa queue lui tient chaud.","Inteligentny drapieżnik żyjący w lasach. Ma miękki ogon, który zapewnia mu ciepło.","Розумний хижак, який живе в лісі. Вони мають м’який хвостик, щоб зігріти їх.","Хищный хищник, живущий в лесу. Мягкий хвост помогает им согреться.","Ein intelligentes Raubtier, das im Wald lebt. Es hat einen weichen Schwanz, der es warm hält.","Okos ragadozó, amely az erdőben él. Puha farkuk van, hogy melegen tartsa őket.","Un prădător inteligent care trăiește în pădure. Au o coadă moale pentru a le ține de cald.","حيوان مفترس ذكي يعيش في الغابة. له ذيل ناعم ليبقيه دافئًا."
"animal_giraffe",7717548261892096,"Giraffe","Jirafa","Giraffa","une girafe","Żyrafa","Жираф","Жирафа","Giraffe","Zsiráf","Girafă","زرافة"
"animal_giraffe.desc",7717548261892097,"A very tall animal with a long neck. Giraffes are taller than trees! They eat leaves that other animals cannot reach.","Un animal muy alto con un cuello largo. ¡Las jirafas son más altas que los árboles! Comen hojas que otros animales no pueden alcanzar.","Un animale molto alto con un collo lungo. Le giraffe sono più alte degli alberi! Mangiano foglie che altri animali non possono raggiungere.","C'est un animal très grand avec un long cou. Les girafes sont plus hautes que les arbres ! Elles mangent des feuilles.","Bardzo wysokie zwierzę z długą szyją. Żyrafy są wyższe niż drzewa! Zjadają liście, do których inne zwierzęta nie mogą dosięgnąć.","Дуже висока тварина з довгою шиєю. Жирафи вищі за дерева! Вони їдять листя, до яких інші тварини не можуть дістатися.","Очень высокое животное с длинной шеей. Жирафы выше деревьев! Они едят листья, до которых другие животные не дотянутся.","Ein sehr großes Tier mit einem langen Hals. Giraffen sind größer als Bäume! Sie fressen Blätter, die andere Tiere nicht erreichen können.","Nagyon magas, hosszú nyakú állat. A zsiráfok magasabbak, mint a fák! Olyan leveleket esznek, amelyeket más állatok nem tudnak elérni.","Un animal foarte înalt, cu un gât lung. Girafele sunt mai înalte decât copacii! Ei mănâncă frunze pe care alte animale nu le pot ajunge.","حيوان طويل جدًا ذو رقبة طويلة. الزرافات أطول من الأشجار! تأكل أوراقًا لا تستطيع الحيوانات الأخرى الوصول إليها."
"animal_lion",7717548261892098,"Lion","León","Leone","Un lion","Lew","Лев","Лев","Löwe","Oroszlán","Leu","الأسد"
"animal_lion_cub",16699856486653952,"Lion Cub","Cachorro de león","Cucciolo di leone","Un lionceau","Lwiątko","Левеня","Львенок","Löwenjunges","Oroszlánkölyök","Pui de Leu","شبل الأسد"
"animal_lion_cub.desc",16699856486653953,"A small lion with soft fur and big paws. It spends its days playing and roaring softly.","Un pequeño león de pelaje suave y patas grandes. Se pasa el día jugando y rugiendo suavemente.","Un piccolo leone dalla pelliccia morbida e dalle zampe grandi. Trascorre le sue giornate giocando e ruggisce dolcemente.","C'est un bébé lion à la fourrure douce et aux grandes pattes. Il aime à jouer.","Mały lew o miękkim futrze i dużych łapach. Spędza czas, bawiąc się i cicho rycząc.","Маленький лев з м'якою шерстю і великими лапами. Він проводить дні, граючись і тихо ревучи.","Маленький лев с мягкой шерстью и большими лапами. Он проводит дни, играя и тихо рыча.","Ein kleiner Löwe mit weichem Fell und großen Pfoten. Er verbringt seine Tage mit Spielen und leisem Brüllen.","Kis oroszlán puha szőrrel és nagy mancsokkal. Napjait játszva és halkan üvöltve tölti.","Un leu mic cu blană moale și labe mari. Își petrece zilele jucându-se și răcnind încet.","أسد صغير ذو فراء ناعم ومخالب كبيرة. يقضي أيامه يلعب وزئيرًا خافتًا."
"animal_lion_young_male",16699856486653954,"Young Lion Male","León joven macho","Giovane leone maschio","C'est un jeune lion","Młody samiec lwa","Молодий лев самець","Молодой лев-самец","Junger männlicher Löwe","Fiatal oroszlán hím","Tânăr Leu Mascul","ذكر أسد صغير"
"animal_lion_young_male.desc",16699856486653955,"Growing strong with a short mane. He learns to hunt and protect his pride.","Crece fuerte con una melena corta. Aprende a cazar y a proteger a su manada.","Cresce forte con una corta criniera. Impara a cacciare e a proteggere il suo branco.","Il a une crinière courte et apprend à devenir fort.","Rośnie w siłę, ma krótką grzywę. Uczy się polować i chronić swoją dumę.","Росте сильний з короткою гривою. Він вчиться полювати і захищати свою гордість.","Он растёт сильным, с короткой гривой. Он учится охотиться и защищать свой прайд.","Er wächst stark heran und hat eine kurze Mähne. Er lernt zu jagen und sein Rudel zu beschützen.","Erős növekedésű, rövid sörénnyel. Megtanul vadászni és megvédeni büszkeségét.","Crește puternic cu coama scurtă. Învață să vâneze și să-și protejeze mândria.","ينمو قويًا بعرف قصير. يتعلم الصيد وحماية كبريائه."
"animal_lion.desc",7717548261892099,"A big cat called the king of animals. It lives in groups called prides.","Un gran felino, considerado el rey de los animales. Vive en manadas.","Un grosso felino chiamato il re degli animali. Vive in gruppi chiamati branchi.","On dit que c'est le roi des animaux. Il vit en groupe.","Duży kot zwany królem zwierząt. Żyje w grupach zwanych stadami.","Великого кота називають королем тварин. Він живе групами, які називаються прайдами.","Большая кошка, называемая царём зверей. Живёт группами, называемыми прайдами.","Eine Großkatze, die als König der Tiere gilt. Sie lebt in Gruppen, die als Rudel bezeichnet werden.","Egy nagymacska, akit az állatok királyának hívnak. Büszkeségnek nevezett csoportokban él.","O pisică mare numită regele animalelor. Trăiește în grupuri numite mândrie.","قطة كبيرة تُسمى ملك الحيوانات. تعيش في مجموعات تُسمى الزمر."
"animal_lover_dwarf",8827921438334978,"Animal Lover Dwarf","Enano amante de los animales","Nano amante degli animali","Un nain qui aime les animaux","Krasnal Miłośnik Zwierząt","Гном любитель тварин","Гном-любитель животных","Tierliebhaber-Zwerg","Állatszerető törpe","Pitic iubitor de animale","قزم محب للحيوانات"
"animal_lover_dwarf.desc",8827921438334979,"A dwarf statue that loves the zoo and animals.","Una estatua enana que ama el zoológico y los animales.","Una statua di un nano che ama lo zoo e gli animali.","Une statue naine qui aime le zoo et les animaux.","Figurka krasnala, który uwielbia zoo i zwierzęta.","Статуя гнома, яка любить зоопарк і тварин.","Статуя гнома, который любит зоопарк и животных.","Eine Zwergstatue, die den Zoo und Tiere liebt.","Törpe szobor, amely szereti az állatkertet és az állatokat.","O statuie pitic care iubește grădina zoologică și animalele.","تمثال قزم يحب حديقة الحيوانات والحيوانات."
"animal_monkey",7717548261892100,"Monkey","Mono","Scimmia","Un singe","Małpa","Мавпа","Обезьяна","Affe","Majom","Maimuţă","قرد"
"animal_monkey.desc",7717548261892101,"A smart animal that can climb and play. Some monkeys live in big families.","Un animal inteligente que puede trepar y jugar. Algunos monos viven en familias numerosas.","Un animale intelligente che sa arrampicarsi e giocare. Alcune scimmie vivono in famiglie numerose.","C'est un animal intelligent qui aime aller dans les arbres et jouer. Certains singes vivent en grandes familles.","Inteligentne zwierzę, które potrafi się wspinać i bawić. Niektóre małpy żyją w dużych rodzinach.","Розумна тварина, яка вміє лазити та гратися. Деякі мавпи живуть великими родинами.","Умное животное, которое умеет лазать и играть. Некоторые обезьяны живут большими семьями.","Ein intelligentes Tier, das klettern und spielen kann. Manche Affen leben in großen Familien.","Okos állat, amely tud mászni és játszani. Egyes majmok nagy családokban élnek.","Un animal inteligent care se poate cățăra și se poate juca. Unele maimuțe trăiesc în familii mari.","حيوان ذكيّ، يجيد التسلق واللعب. بعض القرود تعيش في عائلات كبيرة."
"animal_penguin",7717548261892102,"Penguin","Pingüino","Pinguino","Un manchot","Pingwin","Пінгвін","Пингвин","Pinguin","Pingvin","Pinguin","البطريق"
"animal_penguin.desc",7717548261892103,"A bird that cannot fly but swims very well. It lives in cold places.","Un pájaro que no puede volar, pero nada muy bien. Vive en lugares fríos.","Un uccello che non sa volare ma nuota molto bene. Vive in luoghi freddi.","C'est un oiseau qui ne peut pas voler mais qui nage très bien. Il vit dans les régions froides.","Ptak, który nie lata, ale świetnie pływa. Żyje w zimnych miejscach.","Птах, який не вміє літати, але дуже добре плаває. Живе в холодних місцях.","Птица, которая не умеет летать, но очень хорошо плавает. Обитает в холодных местах.","Ein Vogel, der nicht fliegen kann, aber sehr gut schwimmt. Er lebt an kalten Orten.","Egy madár, amely nem tud repülni, de nagyon jól úszik. Hideg helyeken él.","O pasăre care nu poate zbura, dar înoată foarte bine. Trăiește în locuri reci.","طائر لا يطير ولكنه يسبح جيدًا. يعيش في الأماكن الباردة."
"antura",20437989829107718,"Antura","Antura","Antura","Antura","Antura","Антура","Антура","Antura","Antura","Antura","أنتورا"
"antura_blocky_character",20437989829107720,"Blocky","Bloque","Blocchi","En blocs","Klockowi","Блоковий","Блочный","Blockig","Kockás","Blocky","كتلة"
"antura_blocky_character.desc",20437989829107721,"These funny people live in this world. Talk to them all...  they have stories to tell!","Esta gente tan graciosa vive en este mundo. Habla con todos ellos... ¡tienen historias que contar!","Queste persone divertenti vivono in questo mondo. Parlate con loro... hanno storie da raccontare!","Ces drôles de personnages vivent dans ce monde. Parle-leur à tous… ils ont des histoires à raconter !","Ci zabawni ludzie żyją na tym świecie. Porozmawiaj z nimi wszystkimi... ci zabawni ludzie mogą opowiedzieć ciekawe historie.","Ці смішні люди живуть у цьому світі. Поговоріть з ними всіма... їм є що розповісти!","Эти забавные люди живут в этом мире. Поговорите с ними... им есть что рассказать!","Diese lustigen Menschen leben auf dieser Welt. Sprich mit ihnen allen ... sie haben Geschichten zu erzählen!","Ezek a vicces emberek ebben a világban élnek. Beszélgess velük... van mesélnivalójuk!","Acești oameni amuzanți trăiesc în această lume. Vorbește cu toți... au povești de spus!","هؤلاء الأشخاص المضحكون يعيشون في هذا العالم. تحدث إليهم جميعًا... لديهم قصص ليخبروها!"
"antura_cards",20620920669331456,"Cards","Tarjetas","Carte","Les cartes","Karty","картки","Карты","Karten","Kártyák","Carduri","بطاقات"
"antura_cards.desc",20620920681914368,"Each card has something special to learn. Find them all and read them!","Cada tarjeta tiene algo especial que aprender. ¡Encuéntralas todas y léelas!","Ogni carta ha qualcosa di speciale da imparare. Trovale tutte e leggile!","Chaque carte a quelque chose de spécial à apprendre. Trouve-les toutes et lis-les !","Każda karta skrywa coś wyjątkowego. Znajdź je wszystkie i przeczytaj!","Кожна картка має щось особливе для вивчення. Знайдіть їх усіх і прочитайте!","Каждая карточка таит в себе что-то особенное. Найдите их все и прочтите!","Auf jeder Karte gibt es etwas Besonderes zu lernen. Finde sie alle und lies sie!","Minden kártyának van valami különleges tanulnivalója. Keresse meg mindegyiket és olvassa el!","Fiecare card are ceva special de învățat. Găsește-le pe toate și citește-le!","كل بطاقة تحتوي على شيء مميز لتتعلمه. ابحث عنها جميعًا واقرأها!"
"antura_cat",20437989829107724,"Cat","Gato","Gatto","Le chat","Kot","кішка","Кот","Katze","Macska","Pisică","قطة"
"antura_cat.desc",20437989829107725,"Antura’s best friend and travel buddy. Curious, clever, and always ready to help!","El mejor amigo y compañero de viaje de Antura. ¡Curioso, listo y siempre dispuesto a ayudar!","La migliore amica e compagna di viaggio di Antura. Curiosa, intelligente e sempre pronta ad aiutare!","C'est le meilleur ami et compagnon de voyage d'Antura. Il est curieux, intelligent et toujours prêt à aider !","Najlepszy przyjaciel i towarzysz podróży Antury. Ciekawy, sprytny i zawsze gotowy do pomocy!","Найкращий друг і приятель Антури в подорожах. Допитливий, кмітливий і завжди готовий прийти на допомогу!","Лучший друг и спутник Антуры в путешествиях. Любопытный, умный и всегда готовый помочь!","Anturas bester Freund und Reisegefährte. Neugierig, clever und immer bereit zu helfen!","Antura legjobb barátja és útitársa. Kíváncsi, okos és mindig készen áll a segítségre!","Cel mai bun prieten și prieten de călătorie al Anturii. Curios, inteligent și mereu gata să ajute!","صديق أنطورا المقرب ورفيق سفره. فضولي، ذكي، ومستعد دائمًا للمساعدة!"
"antura_cookies",20437989829107726,"Cookies","Galletas","Biscotti","Cookies","Ciasteczka","Печиво","Файлы cookie","Cookie Einstellungen","Cookie-k","Cookie-uri","ملفات تعريف الارتباط"
"antura_cookies.desc",20437989829107727,"Sweet rewards you can collect while playing! Use them to get new items and surprises.","¡Recoge recompensas increíbles mientras juegas! Úsalas para conseguir nuevos objetos y sorpresas.","Fantastiche ricompense che puoi collezionare giocando! Usale per ottenere nuovi oggetti e sorprese.","De belles récompenses à collectionner en jouant ! Utilisez-les pour obtenir de nouveaux objets et des surprises.","Słodkie nagrody, które możesz zbierać podczas gry! Wykorzystaj je, aby zdobyć nowe przedmioty i niespodzianki.","Солодкі нагороди, які ви можете збирати під час гри! Використовуйте їх, щоб отримати нові предмети та сюрпризи.","Сладкие награды, которые можно получить во время игры! Используйте их, чтобы получить новые предметы и сюрпризы.","Tolle Belohnungen, die du beim Spielen sammeln kannst! Nutze sie, um neue Items und Überraschungen zu erhalten.","Édes jutalmakat gyűjthetsz játék közben! Használja őket új tárgyak és meglepetések beszerzésére.","Recompense dulci pe care le poți colecta în timp ce joci! Folosiți-le pentru a obține articole noi și surprize.","مكافآت رائعة يمكنك جمعها أثناء اللعب! استخدمها للحصول على عناصر ومفاجآت جديدة."
"antura_livingletter",20437989829107730,"Living Letter","Carta viva","Lettera vivente","La lettre vivante","Żywa literka","Живий лист","Живое письмо","Lebender Brief","Élő levél","Scrisoare vie","رسالة حية"
"antura_livingletter.desc",20437989829107731,"A friendly letter that loves to talk and play! Talk to them to learn new words","¡Una carta amigable a la que le encanta hablar y jugar! Háblale para aprender palabras nuevas.","Una lettera amichevole che ama parlare e giocare! Parla con loro per imparare nuove parole","Une gentille lettre qui aime parler et jouer ! Parle-lui pour apprendre de nouveaux mots.","Przyjazny list, który uwielbia rozmawiać i się bawić! Rozmawiaj z nim, aby nauczyć się nowych słów.","Привітний лист, який любить говорити та грати! Поговоріть з ними, щоб вивчити нові слова","Дружелюбное письмо, которое любит болтать и играть! Разговаривайте с ним, чтобы выучить новые слова.","Ein freundlicher Buchstabe, der gerne spricht und spielt! Sprechen Sie mit ihnen, um neue Wörter zu lernen","Barátságos levél, aki szeret beszélni és játszani! Beszéljen velük, hogy új szavakat tanuljon","O scrisoare prietenoasă căreia îi place să vorbească și să se joace! Vorbește cu ei pentru a învăța cuvinte noi","رسالة ودودة تُحب الحديث واللعب! تحدث معها لتتعلم كلمات جديدة."
"antura_malus",20620920681914369,"Danger","Peligro","Pericolo","Le danger","Niebezpieczeństwo","Небезпека","Опасность","Gefahr","Veszély","Pericol","خطر"
"antura_malus.desc",20620920681914370,"Something you should not do! Be careful and stay safe.","¡Algo que no debes hacer! Ten cuidado y mantente a salvo.","Qualcosa che non dovresti fare! Fai attenzione e stai al sicuro.","À éviter absolument ! Sois prudent et protége-toi.","Czegoś takiego nie powinieneś robić! Zachowaj ostrożność i bądź bezpieczny.","Щось не варто робити! Будьте обережні та залишайтеся в безпеці.","Этого делать не стоит! Будьте осторожны и берегите себя.","Das sollten Sie nicht tun! Seien Sie vorsichtig und bleiben Sie sicher.","Valamit, amit nem szabad megtenned! Legyen óvatos és maradjon biztonságban.","Ceva ce nu ar trebui să faci! Fii atent și fii în siguranță.","شيء لا يجب عليك فعله! كن حذرًا وابقَ آمنًا."
"antura_portal",20437989829107732,"Portal","Portal","Portale","Un portail","Portal","Портал","Портал","Portal","Portál","Portal","منفذ"
"antura_portal.desc",20437989829107733,"A magic door that takes you to new places. Step in and see where it leads!","Una puerta mágica que te lleva a nuevos lugares. ¡Entra y descubre adónde te lleva!","Una porta magica che ti porta in nuovi luoghi. Entra e scopri dove ti porta!","Avec la porte magique tu peux aller vers de nouveaux lieux. Entre et découvre où elle te mène !","Magiczne drzwi, które zaprowadzą Cię do nowych miejsc. Wejdź i zobacz, dokąd trafisz tym razem!","Чарівні двері, які ведуть вас у нові місця. Увійдіть і подивіться, куди це веде!","Волшебная дверь, которая перенесёт вас в новые места. Войдите и посмотрите, куда она ведёт!","Eine magische Tür, die Sie an neue Orte führt. Treten Sie ein und sehen Sie, wohin sie führt!","Varázsajtó, amely új helyekre visz. Lépjen be, és nézze meg, hová vezet!","O ușă magică care te duce în locuri noi. Intră și vezi unde duce!","باب سحري يأخذك إلى أماكن جديدة. ادخل وانظر إلى أين يقودك!"
"antura_target",20620920681914371,"Target Symbol","Símbolo de objetivo","Simbolo del bersaglio","Un symbole cible","Symbol docelowy","Цільовий символ","Символ цели","Zielsymbol","Cél szimbólum","Simbol țintă","رمز الهدف"
